Id,target,1,2,3,4,5,6,7
0,1.1,0.69,1.04,,,,,
3,0.41,0.71,0.72,,,,,
4,1.7,2.21,2.21,,,,,
5,0.62,0.6,0.68,,,,,
6,0.6,0.6,0.9,,,,,
7,0.92,0.9,1.04,,,,,
8,0.32,0.4,0.26,,,,,
9,1.93,1.67,1.35,,,,,
10,0.73,0.6,0.6,,,,,
11,0.41,0.39,0.41,,,,,
12,0.35,0.39,1.2,,,,,
13,0.59,0.72,0.56,,,,,
14,1.18,1.72,1.07,,,,,
15,1.42,1.48,1.35,,,,,
16,1.42,1.64,1.48,,,,,
17,1.36,1.39,1.5,,,,,
18,1.29,1.31,1.47,,,,,0.43
19,1.1,0.97,0.88,,,,,0.29
20,1.3,1.1,0.7,,,,,
21,1.09,1.09,0.96,,,,,
22,0.52,0.6,0.96,,,,,
23,0.46,0.73,0.82,,,,,
24,1.09,0.8,0.6,,,,,
25,0.64,0.64,0.9,,,,,
26,0.35,0.32,0.12,,,,,
27,0.9,0.83,0.95,,,,,
28,0.7,0.7,0.8,,,,,
29,0.25,0.41,0.47,,,,,
30,0.8,0.77,0.74,,,,,
31,0.63,1.33,1.75,,,,,
33,0.35,0.72,0.86,,,,,
34,0.56,0.48,0.56,,,,,
35,0.94,0.87,0.78,,,,,
36,0.29,0.22,0.35,,,,,
38,0.58,0.58,0.64,,,,,
39,1.31,1.3,1.78,,,,,
41,1.13,1.17,0.86,,,,,
42,1.21,1.0,1.35,,,,,
45,0.53,0.8,1.75,,,,,
47,1.08,1.11,1.03,,,3.75,,
48,1.3,1.1,1.2,,,3.75,1.05,1.03
49,0.8,0.79,0.66,,,,1.05,1.03
50,1.41,1.02,1.58,,,,,
52,0.46,0.64,0.32,,,,,
54,0.16,0.25,0.22,,,,1.03,0.34
55,0.56,0.45,0.4,,,,,
56,0.2,1.35,0.21,,,,,
57,0.55,0.9,0.99,0.4,1.0,1.3,0.51,0.5
58,0.08,0.11,0.15,,,,,
59,1.11,0.97,1.08,,,,,
62,0.39,0.31,0.27,,,,,
63,0.33,0.55,,,,1.89,0.8,0.4
64,0.54,0.57,0.53,1.8,1.8,,,
65,0.2,0.17,0.16,,,,,
66,0.22,0.29,0.37,,,,,
67,0.82,0.81,0.55,,,,,
70,0.09,,0.09,1.5,1.8,,,
72,0.46,0.42,0.44,4.0,,4.01,,
73,0.46,0.47,0.54,,0.28,,2.68,3.23
75,0.1,0.2,0.14,,,5.3,1.5,1.3
76,0.17,0.15,0.12,0.73,1.32,3.45,0.44,
77,0.18,0.13,0.16,,,,,
79,0.08,0.09,0.07,0.52,2.88,,,
82,0.28,0.27,0.4,,,,0.17,0.1
83,0.4,0.36,0.44,1.38,3.27,3.79,1.56,1.34
