Id,target,1,2,3,4,5,6,7
0,33.35,29.9,34.1,,,,,
3,25.4,58.5,30.7,,,,,
4,12.3,35.6,10.0,,,,,
5,13.8,26.6,45.8,,,,,
6,65.0,49.0,99.0,,,,,
7,35.27,36.47,31.33,,,,,
8,16.5,24.1,17.2,,,,,
9,28.0,26.0,22.0,,,,,
10,11.8,18.4,23.4,,,,,
11,17.6,22.2,29.0,,,,,
12,63.1,66.9,51.2,,,,,
13,17.9,22.6,28.5,,,,,
14,11.0,11.0,18.0,,,,,
15,21.5,13.0,18.0,,,,,
16,15.5,14.5,14.5,,,,,
17,20.0,23.67,37.0,,,,,
18,20.0,16.67,15.0,,,,,13.4
19,8.0,10.0,4.0,,,,,14.8
20,29.0,7.0,5.0,,,,,
21,19.0,20.0,16.0,,,,,
22,12.0,18.0,18.0,,,,,
23,19.33,13.0,16.33,,,,,
24,17.5,13.0,17.0,,,,,
25,7.0,19.0,17.0,,,,,
26,19.0,20.0,22.0,,,,,
27,19.0,26.0,21.0,,,,,
28,8.0,9.0,11.0,,,,,
29,14.0,15.0,12.0,,,,,
30,16.0,18.0,10.0,,,,,
31,33.0,19.0,51.0,,,,,
33,19.0,20.0,22.0,,,,,
34,9.5,8.5,6.0,,,,,
35,23.0,25.0,20.5,,,,,
36,6.0,12.0,11.0,,,,,
38,8.0,5.0,9.0,,,,,
39,15.0,31.0,17.5,,,,,
41,8.5,10.5,11.0,,,,,
42,17.0,18.0,27.0,,,,,
45,14.0,18.0,17.0,,,,,
47,12.33,16.33,13.33,,,34.0,,
48,9.0,22.0,8.0,,,34.0,26.8,22.8
49,16.2,10.0,12.0,,,,26.8,22.8
50,9.0,18.0,20.0,,,,,
52,14.0,15.0,17.5,,,,,
54,9.0,9.0,9.0,,,,24.8,20.0
55,12.33,12.33,13.0,,,,,
56,9.67,10.0,9.67,,,,,
57,14.0,19.0,17.0,11.6,12.8,19.2,10.8,11.2
58,9.0,15.0,18.0,,,,,
59,14.0,19.5,17.0,,,,,
62,17.5,17.0,21.33,,,,,
63,19.0,25.0,,,,16.4,12.3,10.7
64,8.67,8.0,8.33,16.0,18.8,,,
65,19.0,14.0,11.0,,,,,
66,8.0,9.0,12.0,,,,,
67,20.0,22.0,26.0,,,,,
70,10.0,,11.0,19.6,18.8,,,
72,10.5,10.5,8.0,10.2,,18.8,,
73,14.0,11.67,16.0,,14.3,,14.0,21.4
75,11.0,10.0,12.0,,,22.0,12.6,10.2
76,12.0,11.0,10.0,17.4,16.1,19.2,16.0,
77,11.0,8.0,5.0,,,,,
79,9.0,12.0,10.0,18.5,20.6,,,
82,13.0,16.5,17.0,,,,17.5,15.5
83,17.0,18.0,15.5,26.0,24.0,30.0,26.0,22.0
86,16.0,15.0,14.0,,,,,
87,9.5,15.0,12.0,,,,,
90,9.0,8.0,10.0,,,,36.0,28.0
91,10.0,7.0,8.0,,,,,
93,12.0,8.5,9.5,28.0,25.0,,23.0,26.0
96,8.25,10.12,9.0,,,,,
98,10.0,9.0,11.0,43.0,27.5,,,
99,21.0,18.0,8.0,,,15.0,8.5,4.0
102,11.0,9.0,6.0,23.0,27.0,,,
